Item,Market,Order ID
"Banana, 1 each",EB,179
"Banana, 1 each",SF,150
"Banana, 1 each",LA,140
"Blueberries, 1/2 pint",EB,139
"Blueberries, 1/2 pint",SF,131
"Blueberries, 1/2 pint",LA,116
"Avocado, 1 each",LA,111
"Avocado, 1 each",SF,111
"Avocado, 1 each",EB,110
"Tangerines, 1 lb",EB,107
"Organic Cage Free Brown Eggs, 1 dozen",EB,100
"Broccoli Crown, 1 lb",EB,95
"Yellow Onion, 1 each",EB,86
"Baby Spinach, 6 oz",SF,86
"Organic Cage Free Brown Eggs, 1 dozen",SF,86
"Yellow Onion, 1 each",SF,82
"Baby Spinach, 6 oz",EB,81
"Baby Spinach, 6 oz",LA,77
"Fresh Firm Tofu, 12 oz",EB,76
"Fresh Firm Tofu, 12 oz",SF,71
"Blackberries, 1/2 pint",EB,70
"Vine Tomatoes, 1 lb",EB,70
"Table Carrot, 1 each",EB,69
"Strawberries, 1 pint",EB,67
"Strawberries, 1 pint",SF,67
"Crimini Mushroom, 8 oz",EB,67
"Green Onion (Scallions), 1 bunch",EB,66
"Fuji Apple, 1 each",EB,66
"Organic Cage Free Brown Eggs, 1 dozen",LA,64
"Mixed Medley Cherry Tomatoes, 8 oz",EB,64
"Broccoli Crown, 1 lb",SF,62
"Strawberries, 1 pint",LA,62
"Mixed Medley Cherry Tomatoes, 8 oz",SF,62
"Yellow Onion, 1 each",LA,62
"Pink Lady Apple, 1 each",EB,62
"Lemon, 1 each",SF,62
"Red Bell Pepper, 1 each",EB,61
"Lemon, 1 each",EB,61
"Cucumber, 1 each",SF,61
"Green Onion (Scallions), 1 bunch",SF,59
"Raspberries, 1/2 pint",EB,58
"Vine Tomatoes, 1 lb",LA,58
"Tangerines, 1 lb",SF,58
"Crimini Mushroom, 8 oz",SF,58
"Pink Lady Apple, 1 each",SF,58
"Red Bell Pepper, 1 each",SF,58
"Blackberries, 1/2 pint",SF,57
"Garlic, 1 each",EB,56
"Mixed Medley Cherry Tomatoes, 8 oz",LA,55
"Crimini Mushroom, 8 oz",LA,54
"Zucchini, 1 each",EB,54
"Raspberries, 1/2 pint",LA,53
"Lime, 1 each",EB,53
"Cilantro, 1 bunch",EB,53
"Cucumber, 1 each",LA,53
"Lacinato (Dinosaur) Kale, 1 each",EB,52
"Zucchini, 1 each",LA,52
"Table Carrot, 1 each",LA,52
"Romaine Lettuce Head, 1 each",EB,52
"Cucumber, 1 each",EB,52
"Broccoli Crown, 1 lb",LA,52
"Zucchini, 1 each",SF,51
"Green Beans, 16 oz",EB,50
"Raspberries, 1/2 pint",SF,50
"Tangerines, 1 lb",LA,50
"Table Carrot, 1 each",SF,50
"Arugula, 6 oz",EB,49
"Green Onion (Scallions), 1 bunch",LA,49
"Lime, 1 each",SF,49
"Cage Free Eggs, 1 dozen",SF,49
"Cage Free Eggs, 1 dozen",EB,49
"Blackberries, 1/2 pint",LA,49
"Lemon, 1 each",LA,49
"Persian Cucumbers, 1 each",EB,48
"Honeycrisp Apple, 1 each",EB,48
"Persian Cucumbers, 1 each",LA,47
"Shredded Cheddar, 7 oz",EB,47
"Whole Milk, 1/2 gallon",EB,47
"Lacinato (Dinosaur) Kale, 1 each",SF,45
"Fuji Apple, 1 each",LA,45
"Red Bell Pepper, 1 each",LA,44
"Brussel Sprouts, 1 lb",EB,43
"Cauliflower, 1 each",EB,43
"Lacinato (Dinosaur) Kale, 1 each",LA,43
"Red Onion, 1 each",EB,43
"Arugula, 6 oz",SF,43
"Orange Bell Pepper, 1 each",EB,42
"Red Sweet Potato, 1 lb",EB,42
"Flour Tortillas 8 in, 1 dozen",EB,42
"Red Sweet Potato, 1 lb",SF,41
"Arugula, 6 oz",LA,41
"Garlic, 1 each",SF,41
"Honeycrisp Apple, 1 each",SF,41
"Fuji Apple, 1 each",SF,40
