Order ID,Market,Date,Status,Customer,City,Zipcode,Revenue,Order Value,Order Count,Balance
SF-2731,SF,2022-03-01 0:00:00,unfulfilled,Customer 1000,"San Francisco, CA, USA",94102,77,77,1,0
LA-2373,LA,2022-03-01 0:00:00,unfulfilled,Customer 1,"Pacific Palisades, CA, USA",90272,108,108,1,0
SF-2730,SF,2022-03-01 0:00:00,unfulfilled,Customer 1001,"San Francisco, CA, USA",94109,100,100,1,0
LA-2372,LA,2022-03-01 0:00:00,unfulfilled,Customer 2,"Los Angeles, CA, USA",90024,127,127,1,0
EB-2945,EB,2022-03-01 0:00:00,unfulfilled,Customer 3,"San Leandro, CA, USA",94578,22,22,1,0
LA-2371,LA,2022-03-01 0:00:00,unfulfilled,Customer 4,"Los Angeles, CA, USA",90019,55,55,1,0
EB-2944,EB,2022-03-01 0:00:00,unfulfilled,Customer 5,"Kensington, CA, USA",94707,63,63,1,0
LA-2370,LA,2022-03-01 0:00:00,unfulfilled,Customer 6,"Los Angeles, CA, USA",90272,77,77,1,0
EB-2943,EB,2022-03-01 0:00:00,unfulfilled,Customer 7,"Oakland, CA, USA",94612,91,91,1,0
EB-2942,EB,2022-03-01 0:00:00,unfulfilled,Customer 3,"San Leandro, CA, USA",94578,127,127,1,0
SF-2729,SF,2022-03-01 0:00:00,unfulfilled,Customer 9,"San Francisco, CA, USA",94114,30,30,1,0
LA-2369,LA,2022-03-01 0:00:00,fulfilled,Customer 10,"West Hollywood, CA, USA",90069,49,49,1,0
LA-2368,LA,2022-03-02 0:00:00,fulfilled,Customer 11,"Santa Monica, CA, USA",90402,46,46,1,0
SF-2728,SF,2022-03-02 0:00:00,started,Customer 12,"San Francisco, CA, USA",94117,75,75,1,0
SF-2727,SF,2022-03-01 0:00:00,started,Customer 13,"San Francisco, CA, USA",94115,66,66,1,-9
EB-2941,EB,2022-03-02 0:00:00,started,Customer 14,"Alameda, CA, USA",94501,40,40,1,0
EB-2940,EB,2022-03-02 0:00:00,started,Customer 15,"Berkeley, CA, USA",94702,100,100,1,0
LA-2367,LA,2022-03-02 0:00:00,fulfilled,Customer 16,"Los Angeles, CA, USA",90094,60,60,1,0
SF-2726,SF,2022-03-02 0:00:00,started,Customer 330,"San Francisco, CA, USA",94109,33,33,1,0
EB-2939,EB,2022-03-02 0:00:00,started,Customer 17,"Oakland, CA, USA",94605,38,38,1,0
EB-2938,EB,2022-03-02 0:00:00,started,Customer 18,"Alameda, CA, USA",94501,64,64,1,0
EB-2937,EB,2022-03-02 0:00:00,started,Customer 19,"Oakland, CA, USA",94608,80,80,1,0
SF-2725,SF,2022-03-01 0:00:00,started,Customer 20,"San Francisco, CA, USA",94133,124,124,1,-7
LA-2366,LA,2022-03-01 0:00:00,fulfilled,Customer 21,"Los Angeles, CA, USA",90045,83,83,1,0
SF-2724,SF,2022-03-01 0:00:00,started,Customer 22,"San Francisco, CA, USA",94109,32,32,1,0
LA-2365,LA,2022-03-01 0:00:00,fulfilled,Customer 23,"Los Angeles, CA, USA",90028,86,86,1,0
SF-2723,SF,2022-03-01 0:00:00,started,Customer 24,"San Francisco, CA, USA",94117,56,56,1,0
LA-2364,LA,2022-03-01 0:00:00,fulfilled,Customer 25,"Los Angeles, CA, USA",90045,99,99,1,0
EB-2936,EB,2022-03-01 0:00:00,started,Customer 26,"San Leandro, CA, USA",94577,52,52,1,0
SF-2722,SF,2022-03-01 0:00:00,started,Customer 27,"San Francisco, CA, USA",94123,72,72,1,0
SF-2721,SF,2022-03-01 0:00:00,started,Customer 28,"San Francisco, CA, USA",94122,77,77,1,0
SF-2720,SF,2022-03-01 0:00:00,fulfilled,Customer 29,"San Francisco, CA, USA",94117,94,94,1,-34
LA-2363,LA,2022-03-01 0:00:00,fulfilled,Customer 30,"Los Angeles, CA, USA",90034,112,112,1,0
SF-2719,SF,2022-03-01 0:00:00,unfulfilled,Customer 31,"San Francisco, CA, USA",94121,98,98,1,0
SF-2718,SF,2022-03-01 0:00:00,started,Customer 32,"San Francisco, CA, USA",94133,116,116,1,0
EB-2935,EB,2022-03-01 0:00:00,fulfilled,Customer 33,"El Cerrito, CA, USA",94530,132,132,1,0
EB-2934,EB,2022-03-01 0:00:00,fulfilled,Customer 34,"Richmond, CA, USA",94804,65,65,1,-3
LA-2362,LA,2022-03-01 0:00:00,fulfilled,Customer 35,"Los Angeles, CA, USA",90028,75,75,1,0
EB-2933,EB,2022-03-01 0:00:00,fulfilled,Customer 36,"Berkeley, CA, USA",94707,83,83,1,-5
EB-2932,EB,2022-03-01 0:00:00,fulfilled,Customer 37,"Oakland, CA, USA",94609,161,161,1,0
SF-2717,SF,2022-03-01 0:00:00,started,Customer 38,"San Francisco, CA, USA",94123,115,115,1,-32
EB-2931,EB,2022-03-01 0:00:00,fulfilled,Customer 39,"Oakland, CA, USA",94608,109,109,1,-15
LA-2361,LA,2022-03-01 0:00:00,fulfilled,Customer 40,"Pacific Palisades, CA, USA",90272,64,64,1,0
SF-2716,SF,2022-03-01 0:00:00,fulfilled,Customer 41,"San Francisco, CA, USA",94110,147,147,1,0
LA-2360,LA,2022-03-01 0:00:00,started,Customer 42,"Los Angeles, CA, USA",90027,128,128,1,-14
LA-2359,LA,2022-03-01 0:00:00,fulfilled,Customer 21,"Los Angeles, CA, USA",90047,92,92,1,0
LA-2358,LA,2022-03-01 0:00:00,fulfilled,Customer 44,"Santa Monica, CA, USA",90405,130,130,1,0
SF-2715,SF,2022-03-01 0:00:00,fulfilled,Customer 45,"San Francisco, CA, USA",94117,131,131,1,-16
EB-2930,EB,2022-03-01 0:00:00,fulfilled,Customer 46,"Oakland, CA, USA",94609,173,173,1,-3
SF-2714,SF,2022-03-01 0:00:00,fulfilled,Customer 47,"San Francisco, CA, USA",94115,75,75,1,0
LA-2357,LA,2022-03-01 0:00:00,fulfilled,Customer 48,"Los Angeles, CA, USA",90035,95,95,1,0
SF-2713,SF,2022-03-01 0:00:00,fulfilled,Customer 49,"San Francisco, CA, USA",94110,65,65,1,0
LA-2356,LA,2022-03-01 0:00:00,fulfilled,Customer 50,"Los Angeles, CA, USA",90012,37,37,1,0
EB-2929,EB,2022-03-01 0:00:00,fulfilled,Customer 51,"Oakland, CA, USA",94608,72,72,1,-12
SF-2712,SF,2022-03-01 0:00:00,fulfilled,Customer 52,"San Francisco, CA, USA",94122,66,66,1,0
EB-2928,EB,2022-03-01 0:00:00,fulfilled,Customer 53,"San Lorenzo, CA, USA",94580,64,64,1,-11
LA-2355,LA,2022-03-01 0:00:00,fulfilled,Customer 54,"West Hollywood, CA, USA",90069,63,63,1,0
EB-2927,EB,2022-03-01 0:00:00,fulfilled,Customer 55,"Albany, CA, USA",94706,48,48,1,0
EB-2926,EB,2022-03-01 0:00:00,fulfilled,Customer 56,"Albany, CA, USA",94706,116,116,1,0
SF-2711,SF,2022-03-01 0:00:00,fulfilled,Customer 57,"San Francisco, CA, USA",94110,77,77,1,0
SF-2710,SF,2022-03-01 0:00:00,fulfilled,Customer 58,"San Francisco, CA, USA",94117,22,22,1,0
EB-2925,EB,2022-03-01 0:00:00,fulfilled,Customer 59,"Oakland, CA, USA",94611,135,135,1,0
EB-2924,EB,2022-03-01 0:00:00,fulfilled,Customer 60,"Oakland, CA, USA",94611,84,84,1,-22
LA-2354,LA,2022-03-01 0:00:00,fulfilled,Customer 50,"Los Angeles, CA, USA",90012,36,36,1,0
LA-2353,LA,2022-03-01 0:00:00,fulfilled,Customer 62,"Los Angeles, CA, USA",90036,66,66,1,0
EB-2923,EB,2022-03-01 0:00:00,fulfilled,Customer 63,"Oakland, CA, USA",94606,43,43,1,0
SF-2709,SF,2022-03-01 0:00:00,fulfilled,Customer 64,"San Francisco, CA, USA",94117,10,10,1,0
SF-2708,SF,2022-03-01 0:00:00,fulfilled,Customer 65,"san francisco, CA, USA",94117,97,97,1,0
LA-2352,LA,2022-03-01 0:00:00,fulfilled,Customer 66,"LOS ANGELES, CA, USA",90046,59,59,1,0
LA-2351,LA,2022-03-01 0:00:00,fulfilled,Customer 67,"Los Angeles, CA, USA",90025,41,41,1,0
LA-2350,LA,2022-03-01 0:00:00,fulfilled,Customer 68,"Sherman Oaks, CA, USA",91403,61,61,1,0
SF-2707,SF,2022-03-01 0:00:00,fulfilled,Customer 69,"San Francisco, CA, USA",94114,50,50,1,-9
EB-2922,EB,2022-03-01 0:00:00,fulfilled,Customer 70,"RICHMOND, CA, USA",94804,32,32,1,-5
