orderNumber,warehouse/shop,,composite,composite qty,sku,price,cost,refund_qty
SF-2727,SF,2727,SF starter-bakery-sliced-pullman-loaf,1,starter-bakery-sliced-pullman-loaf,9.39,9.39,1
SF-2725,SF,2725,SF as-kneaded-spelt-walnut,1,as-kneaded-spelt-walnut,8.99,8.99,1
SF-2720,SF,2720,SF organic-kiwi,1,organic-kiwi,3.79,3.79,1
SF-2720,SF,2720,SF yellowfin-tuna-steak,1,yellowfin-tuna-steak,27.99,27.99,1
SF-2720,SF,2720,SF organic-celery-2,1,organic-celery-2,2.29,2.29,1
EB-2934,EB,2934,EB organic-soy-sauce,3,organic-soy-sauce,3.49,3.49,1
EB-2933,EB,2933,EB old-style-whole-grain-dijon-mustard,1,old-style-whole-grain-dijon-mustard,3.49,3.49,1
EB-2933,EB,2933,EB organic-yellow-onion,2,organic-yellow-onion,0.99,1.98,2
SF-2717,SF,2717,SF ultraviolet-cabernet-sauvignon,1,ultraviolet-cabernet-sauvignon,11.89,11.89,1
SF-2717,SF,2717,SF reunion-mdz-malbec,1,reunion-mdz-malbec,8.39,8.39,1
SF-2717,SF,2717,SF Fly-By-Jing-Sichuan-Chili-Crisp,1,Fly-By-Jing-Sichuan-Chili-Crisp,10.49,10.49,1
EB-2931,EB,2931,EB young-kobras-olive-herb,1,young-kobras-olive-herb,11.99,11.99,1
EB-2931,EB,2931,EB Bonne-Maman-Apricot,1,Bonne-Maman-Apricot,3.49,3.49,1
LA-2360,LA,2360,LA JidoriChickenGyoza-1dozen,1,JidoriChickenGyoza-1dozen,14.99,14.99,1
SF-2715,SF,2715,SF young-kobras-olive-herb,1,young-kobras-olive-herb,11.99,11.99,1
SF-2715,SF,2715,SF sanj-teriyaki-sauce,1,sanj-teriyaki-sauce,4.54,4.54,1
EB-2930,EB,2930,EB nuts-cheddar-whales,2,nuts-cheddar-whales,3.49,6.98,2
EB-2929,EB,2929,EB organic-soy-sauce,3,organic-soy-sauce,3.49,6.98,2
EB-2929,EB,2929,EB reunion-mdz-malbec,5,reunion-mdz-malbec,8.39,16.78,2
EB-2928,EB,2928,EB rao-bolognese-sauce,2,rao-bolognese-sauce,5.94,11.88,2
EB-2924,EB,2924,EB dw-rotisserie-breast-chicken,1,dw-rotisserie-breast-chicken,6.49,6.49,1
EB-2924,EB,2924,EB garofalo-rigatoni,1,garofalo-rigatoni,3,3,1
